Category,Event,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24,value25,value26,value27,value28,value29,value30,value31,value32,value33,value34,value35,value36,value37,value38,value39,value40,value41,value42,value43,value44,value45,value46,value47,Node,active0,active1,active2,active3,active4,active5,active6,active7,active8,active9,active10,active11,active12,active13,active14,active15,active16,active17,active18,active19,active20,active21,active22,active23,active24,active25,active26,active27,active28,active29,active30,active31,active32,active33,active34,active35,active36,active37,active38,active39,active40,active41,active42,active43,active44,active45,active46,active47
Buckskins,Haute Couture Fashion Week,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.60817518,0,0,0,0,0,0,0,0,0,0,0,0,0.080845208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Haute Couture Fashion Week,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0
Buckskins,London Fashion Week,0.105550949,0.130403418,0,0.731281702,-0.618473185,0.768231355,-0.379287554,-0.292986485,-0.044173878,0.803351154,0.166960624,0,-0.540858412,0.559503168,-0.305989522,-0.393939394,-1,0.4457865,0.625525261,-0.008084637,-0.254396141,0,0.496117131,-0.833017698,0.43374885,0.021229663,0,-0.603773713,0,-0.57844017,0.846648782,0.744129569,0.170286196,-0.889297292,0.612372436,0.348077377,0.16198198,0.946027843,0,0,0.391254023,0,0.543914994,-0.671357694,-0.848560414,-0.788607374,-0.140085086,-0.682913331,London Fashion Week,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0
Buckskins,Men's New York Fashion Week,0.765339734,-0.060856784,0.707106781,0,-0.994021432,-0.768231355,0.405796747,-0.183780389,-0.226179914,0.89927368,-0.685248289,0.358353675,-0.23995691,0.859183245,-0.305989522,-0.251445503,-0.577350269,0.121665774,-0.269218805,0.286609982,0.058385414,-0.284201686,0.496117131,0.267646931,0.092422684,0.021229663,-0.501906503,0.895250677,-0.19245009,-0.149274431,0.706063081,0.34295928,-0.652920525,0.080845208,-0.592927061,-0.842319866,0.969196481,-0.35329197,-0.246229045,-0.478633178,0.815026369,0.398727667,-0.359425379,0.210354802,-0.247598223,-0.946715342,0.337554477,0.838857125,Men's New York Fashion Week,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
Buckskins,Milan Men's Fashion Week,0.094035436,0.112132844,0.037648831,0.701798009,0.112668405,0.175565432,0.26474137,0.947175853,-0.533256293,0.084185591,0.913664385,-0.120389716,0.888774637,0.795370862,-0.698402581,-0.98644005,0.804668143,-0.628755014,-0.894951464,-0.80771904,-0.286346501,0.935674292,-0.092144553,-0.186997531,-0.947065141,0.638497685,-0.463220694,0.895250677,0.871832143,-0.88619405,0.054312545,-0.201669261,-0.62637169,-0.080845208,0.193800633,-0.031849138,0.353491962,0.73460861,0.003504929,0.554193733,-0.411318331,0.770533963,-0.522232968,-0.225346955,0.713151606,0.788607374,0.086052288,-0.505261549,Milan Men's Fashion Week,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0
Buckskins,Milan SS Ready to Wear,-0.176553058,0.115867682,0.322358179,-0.315159137,-0.599749327,-0.902063963,0.467682555,0.364666865,0.523490816,0.576930192,-0.945213047,0.42913615,-0.198704356,-0.549707323,-0.447752455,-0.254628617,0.121566135,-0.568460528,-0.362678283,-0.128333313,-0.877436177,0.838101823,-0.606067031,-0.499874575,-0.627696213,-0.726328518,0.275543012,0.865462135,-0.175682092,-0.919638887,0.455752315,0.186925607,-0.328903458,0.655355015,-0.334749015,-0.225385293,-0.703187503,-0.404061129,-0.587531627,-0.739462235,0.535784712,-0.652581771,0.097590007,0.320396932,-0.994654234,0.690124739,0.515269193,-0.520628111,Milan SS Ready to Wear,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
Buckskins,New York Fashion Week,-0.486381131,-0.802852018,-0.816496581,-0.043602072,-0.279870112,0.768231355,0,-0.183780389,-0.233894191,-0.099492062,0,-0.708398777,0.719870729,0.675032626,0.749518195,0.63652395,-1,0.080366503,0,-0.286609982,0.454523711,-0.145549334,-0.3191686,0.60013103,0.879049073,-0.794169551,0,0.889618848,-0.678082828,0,0,-0.113071532,0.268371245,0.727606875,-0.86059042,-0.547164511,-0.108147614,0.350951409,0.945885808,0.876309357,-0.411318331,0,0,-0.5703285,0.681644048,0.105246562,0.781527321,0,New York Fashion Week,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0
Buckskins,Paris Fashion Week Ready to Wear,0.646490549,0.735076176,-0.110992324,0.065403108,-0.094557099,0.246454614,0.837139999,0.099241714,0.569991364,0.846753649,-0.242271856,0.148186488,-0.381664484,-0.714631006,-0.14291719,-0.251445503,0.333333333,-0.136697016,0.306497194,0.319112823,-0.162618403,-0.069281376,0.552816232,0.39492935,0.264887502,0.991838699,0.77931934,0.432731068,0.19245009,-0.500898362,-0.172661897,0.52544674,-0.021188584,-0.75311668,0.663403472,0.857457997,-0.737661085,0.96914213,-0.01459,-0.651735791,0.190346747,0.444441667,-0.399003734,-0.483764707,0.383825185,-0.304664312,-0.057920347,-0.452069388,Paris Fashion Week Ready to Wear,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0
Buckskins,Pitti Immagine,0.095024109,-0.065452093,-0.416025147,-0.625807463,0.245198279,0.014319121,0.367126306,-0.10154791,0.289060806,-0.729757692,-0.170799621,0.791948143,0.100848104,-0.265123621,-0.126297633,0.393384864,0.816496581,0.592193463,-0.431609331,0.82969334,-0.932614174,-0.801834701,-0.854341544,0.768444125,-0.351392036,-0.263477412,0.120098864,0.305987072,0.496423051,-0.506153823,-0.783446124,-0.529187175,0.410983055,0.92973479,-0.505387008,-0.602001374,0.057206602,-0.093898424,0.73415952,-0.4838695,-0.503400458,0.271802188,-0.292770022,-0.601656838,-0.57137259,-0.211577588,-0.811078208,0.794004382,Pitti Immagine,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0
Busby,Academy Awards,-0.556700601,-0.550365401,-0.207699943,0.838646546,0.973258407,-0.157791853,-0.108348768,-0.146143654,0.513881355,0.949419869,-0.566138517,0.399176955,-0.490502056,-0.672004447,-0.054839338,-0.79396045,0.348342552,-0.943951302,-0.324200913,-0.398033501,0.146777152,0.565300997,-0.605215068,0.338567038,-0.526878312,0.59796578,-0.228638542,-0.731937143,0.068351694,-0.243723368,0.417799663,-0.038933827,0.472296182,-0.229415734,-0.071435461,0.89356958,0.016846225,0.125652965,-0.896694194,-0.141643215,0.802458344,0.100034453,-0.907264709,0.893617021,-0.426731564,-0.866449633,-0.035223498,0.786666183,Academy Awards,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
Busby,Bread and Butter,0.235742052,0.973809885,-0.867058231,-0.723478043,-0.947092704,0.532377748,0.244064582,0.464758002,0.546905979,0.741260599,-0.77932527,0.235163568,-0.597697413,-0.102583783,-0.386419751,-0.212000806,0.221899804,-0.42552097,0.995345968,0.666666667,-0.095106849,0,-0.726897361,0.483083794,-0.034276941,-0.257579113,-0.797227902,-0.53294804,-0.642383304,0.56694671,-0.887323361,-0.627956923,0.083934557,0.554461403,-0.241448694,0.703595661,0.426401433,-0.020400193,-0.085526316,0.574366527,0.550617854,-0.364072822,0.788688382,-0.359428279,-0.683130051,0.577350269,0.171184197,-0.703526471,Bread and Butter,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0
